Date,Open,High,Low,Close,Volume
2021-01-20,158.0,158.0,155.0,155.0,2611120
2021-01-21,155.5,159.0,155.0,156.0,2374703
2021-01-22,157.5,161.5,156.0,161.5,3809925
2021-01-25,160.5,162.0,158.5,161.0,2287292
2021-01-26,161.5,163.5,159.0,161.0,2610648
2021-01-27,161.5,163.0,160.0,162.5,2219340
2021-01-28,159.0,160.5,156.0,156.5,3581465
2021-01-29,157.0,158.0,150.0,150.5,3556785
2021-02-01,151.0,153.5,150.0,152.5,1949088
2021-02-02,154.0,157.0,153.5,155.0,2125175
2021-02-03,155.5,156.5,154.0,155.0,1425683
2021-02-04,154.5,157.5,154.0,157.0,1514095
2021-02-05,159.0,164.0,158.0,161.5,6130013
2021-02-17,164.5,166.5,162.0,164.0,3534651
2021-02-18,165.0,166.0,163.0,164.5,2842712
2021-02-19,164.5,171.5,163.5,169.0,6905689
2021-02-22,169.5,170.5,167.5,168.5,2977752
2021-02-23,167.5,169.0,166.0,169.0,1739916
2021-02-24,170.0,174.0,166.0,166.5,4832158
2021-02-25,168.5,169.0,162.5,163.0,5267634
2021-02-26,160.5,170.5,160.5,169.0,8090460
2021-03-02,173.0,177.5,169.0,169.0,7574132
2021-03-03,170.5,172.5,166.5,172.0,2649721
2021-03-04,173.0,175.5,169.5,170.0,3539305
2021-03-05,168.0,171.5,166.5,167.5,3444826
2021-03-08,169.5,170.0,166.0,166.0,1923732
2021-03-09,166.0,168.0,161.0,165.5,2624868
2021-03-10,167.0,169.0,166.0,166.0,1245592
2021-03-11,166.0,168.5,165.5,167.5,2950069
2021-03-12,168.5,172.0,168.5,169.5,2451162
2021-03-15,169.5,170.0,168.0,168.5,971728
2021-03-16,169.0,170.0,167.5,170.0,1606476
2021-03-17,169.5,170.0,168.0,168.0,1255723
2021-03-18,168.5,169.5,168.5,169.0,912297
2021-03-19,168.0,169.5,166.0,168.5,1210956
2021-03-22,168.5,170.0,167.5,170.0,1206503
2021-03-23,171.5,171.5,169.0,169.0,917888
2021-03-24,169.0,170.0,167.0,168.0,1146593
2021-03-25,168.0,168.0,165.0,165.0,2143291
2021-03-26,166.5,167.5,165.0,166.5,1349025
2021-03-29,168.0,171.5,167.5,171.0,2683142
2021-03-30,171.0,171.0,169.0,170.0,779561
2021-03-31,170.0,170.0,168.0,169.0,872192
2021-04-01,170.0,170.0,167.5,168.5,910031
2021-04-07,169.0,169.5,167.5,169.0,1294463
2021-04-08,170.0,172.0,168.5,171.5,2413392
2021-04-09,173.0,173.0,168.5,169.0,2880201
2021-04-12,170.5,171.0,169.0,170.0,1327316
2021-04-13,171.0,171.0,166.0,167.0,1489867
2021-04-14,171.0,175.0,166.0,169.0,6824279
2021-04-15,170.0,170.5,167.0,168.5,1769680
2021-04-16,170.0,170.0,168.0,169.5,1620786
2021-04-19,169.5,171.5,167.0,169.5,3350780
2021-04-20,170.0,177.0,169.5,175.5,7737442
2021-04-21,175.0,181.0,174.0,181.0,5759928
2021-04-22,183.0,188.0,175.0,175.0,7667367
2021-04-23,177.0,180.0,175.0,179.5,2292814
2021-04-26,182.5,183.0,178.0,182.0,2766618
2021-04-27,184.0,184.5,179.0,182.0,1976947
2021-04-28,182.0,182.0,176.5,178.5,3290094
2021-04-29,180.5,180.5,175.5,178.0,2696370
2021-05-03,180.0,184.5,178.0,179.5,5692166
2021-05-04,181.5,183.0,166.5,173.0,4403542
2021-05-05,173.5,175.0,165.0,165.0,3697359
2021-05-06,168.0,171.0,163.0,166.5,3652332
2021-05-07,169.0,172.5,167.0,172.5,2890369
2021-05-10,172.5,175.5,167.0,168.0,2419828
2021-05-11,164.0,166.0,158.0,161.0,4222601
2021-05-12,157.5,159.5,145.0,150.0,6179039
2021-05-13,145.0,153.0,141.5,151.5,3615297
2021-05-14,152.5,160.0,151.0,157.0,4025440
2021-05-17,146.0,157.0,146.0,155.0,3131384
2021-05-18,157.0,160.5,155.0,159.0,1971103
2021-05-19,159.0,159.5,157.0,158.5,1148124
2021-05-20,158.5,159.0,156.0,156.5,718247
2021-05-21,159.5,159.5,155.0,156.5,1362566
2021-05-24,155.0,159.0,153.5,158.5,975907
2021-05-25,159.0,162.0,158.5,161.0,1068414
2021-05-26,161.0,162.5,159.0,159.5,837232
2021-05-27,157.5,159.0,156.5,157.0,1068516
2021-05-28,159.5,160.5,158.0,158.5,839024
2021-05-31,160.0,164.0,159.5,164.0,2766657
2021-06-01,164.0,165.0,162.0,162.5,2412569
2021-06-02,162.0,164.0,158.0,160.0,1844485
2021-06-03,160.5,161.0,158.5,159.5,1297538
2021-06-04,158.5,161.0,158.0,159.5,1287168
2021-06-07,163.0,163.5,157.0,162.5,4148004
2021-06-08,162.5,171.0,162.0,168.5,5231356
2021-06-09,168.5,182.0,168.0,179.0,10912807
2021-06-10,183.5,196.5,182.0,196.5,29290397
2021-06-11,196.0,209.0,192.5,202.0,34551753
2021-06-15,207.5,216.5,205.5,207.5,18398375
2021-06-16,207.0,213.5,203.5,210.0,9993697
2021-06-17,210.5,216.0,208.5,214.0,9307099
2021-06-18,212.5,213.5,207.5,212.0,6397068
2021-06-21,210.5,213.5,207.0,213.5,4425206
2021-06-22,217.0,224.0,201.5,204.5,12465381
2021-06-23,207.5,216.5,205.0,213.5,8628645
2021-06-24,213.0,217.0,210.0,215.5,5086001
2021-06-25,217.0,220.5,210.0,213.5,5004956
2021-06-28,214.5,221.5,212.0,214.0,4962930
2021-06-29,217.0,235.0,213.5,235.0,10604071
2021-06-30,234.5,234.5,212.0,218.0,18587471
2021-07-01,219.0,220.5,206.0,210.0,7979228
2021-07-02,213.5,218.0,210.5,216.5,5747864
2021-07-05,219.0,226.0,216.0,223.0,7607183
2021-07-06,224.0,224.5,217.0,218.0,4952244
2021-07-07,219.0,222.0,215.0,217.0,5216448
2021-07-08,218.0,222.0,213.0,219.0,7372704
2021-07-09,220.5,228.5,217.5,218.5,12564481
2021-07-12,223.0,223.5,214.0,216.0,7216180
2021-07-13,218.0,228.5,217.0,223.5,15228949
2021-07-14,227.0,234.5,220.0,231.0,12008607
2021-07-15,232.5,233.0,224.5,229.0,5224720
2021-07-16,226.0,238.5,225.0,238.5,6249134
2021-07-19,238.5,248.5,236.0,242.5,10156080
2021-07-20,238.0,245.0,229.5,231.0,7064221
2021-07-21,236.0,242.0,232.0,236.0,5345371
2021-07-22,238.0,240.5,232.5,235.0,2521284
2021-07-23,237.5,238.0,227.0,230.5,3343971
2021-07-26,231.0,236.5,229.0,236.0,2184831
2021-07-27,238.0,238.5,227.0,231.0,2216150
2021-07-28,228.0,234.0,217.0,230.0,4931373
2021-07-29,234.0,235.0,227.0,229.0,3112717
2021-07-30,230.0,233.5,223.0,225.0,2845891
2021-08-02,225.0,229.5,218.5,220.5,3152464
2021-08-03,221.0,224.0,216.5,223.0,3330952
2021-08-04,224.0,224.5,217.0,218.5,3468544
2021-08-05,218.5,223.5,217.5,222.5,2974730
2021-08-06,221.5,222.0,219.0,221.5,1106622
2021-08-09,220.0,223.5,214.0,215.5,1507704
2021-08-10,215.5,220.0,209.0,215.5,3643400
2021-08-11,214.0,219.0,210.0,212.5,3758246
2021-08-12,211.5,221.0,211.5,220.5,2519993
2021-08-13,219.0,219.0,207.5,208.0,3093136
2021-08-16,206.5,208.0,200.0,205.0,2297132
2021-08-17,205.0,205.0,205.0,205.0,0
2021-08-18,206.5,224.0,205.5,222.5,5369111
2021-08-19,220.5,235.0,219.5,228.0,9476637
2021-08-20,228.0,236.5,224.5,235.5,7913945
2021-08-23,236.5,237.0,228.5,231.5,5226787
2021-08-24,234.5,242.0,233.0,236.5,5508400
2021-08-25,236.5,239.5,231.0,234.0,3875752
2021-08-26,229.5,233.0,223.5,232.0,2753473
2021-08-27,232.5,234.0,226.5,228.5,2433345
2021-08-30,231.0,232.0,228.0,230.0,1320976
2021-08-31,228.5,234.0,225.0,234.0,2345834
2021-09-01,234.5,237.5,230.5,237.0,3527311
2021-09-02,237.0,239.5,230.5,232.0,2849527
2021-09-03,234.0,234.5,226.0,232.0,2999812
2021-09-06,236.5,240.0,230.5,231.0,4317873
2021-09-07,234.5,234.5,226.5,228.0,2822412
2021-09-08,226.5,228.0,213.5,221.5,4877503
2021-09-09,220.0,229.0,220.0,226.5,2419591
2021-09-10,226.0,226.5,221.5,225.0,1777447
2021-09-13,225.0,225.5,219.0,219.5,1773663
2021-09-14,219.5,224.0,219.5,222.5,1314430
2021-09-15,222.5,222.5,215.5,219.5,2415344
2021-09-16,221.5,233.0,220.0,231.0,4236353
2021-09-17,229.5,232.5,227.5,227.5,3515193
2021-09-22,224.5,235.5,222.0,232.5,3177635
2021-09-23,239.0,251.5,234.0,249.0,12128588
2021-09-24,247.0,251.5,236.5,238.0,12170644
2021-09-27,226.5,233.0,222.0,226.0,7483464
2021-09-28,223.0,229.0,222.5,228.0,3852042
2021-09-29,222.5,223.0,210.0,214.5,7994368
2021-09-30,218.0,221.0,212.5,217.5,3811957
2021-10-01,215.5,215.5,209.0,210.0,2887900
2021-10-04,210.0,214.5,209.0,209.5,1756577
2021-10-05,208.0,219.0,202.0,218.0,2997628
2021-10-06,218.0,220.0,202.5,203.0,5385309
2021-10-07,203.5,215.5,203.5,211.5,3881826
2021-10-08,211.0,218.0,211.0,214.5,1661331
2021-10-12,211.0,214.5,206.5,207.0,1609764
2021-10-13,208.0,210.0,200.0,200.0,2021890
2021-10-14,203.5,208.0,201.0,206.5,2319798
2021-10-15,208.5,212.0,206.0,211.5,1759469
2021-10-18,211.0,213.0,206.5,207.0,1133786
2021-10-19,208.0,222.5,208.0,215.0,3667452
2021-10-20,218.0,223.5,217.0,217.0,2532697
2021-10-21,219.0,220.0,212.5,212.5,1056365
2021-10-22,214.5,219.0,214.0,217.5,1087474
2021-10-25,217.5,219.0,215.5,218.0,839640
2021-10-26,220.0,221.0,218.0,218.0,858701
2021-10-27,219.0,228.5,219.0,227.5,3120233
